SiteCode,Site Name,NoofCells,(2G/3G),Priority,Type,Category,MBU#,OMO Colocation,OMO host name ,DG site,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Frequency,4G NAR
BGA6219,BGA6219__S_Village_Bagga_MR2X3604,6,2G/3G/LTE,Bronze,Macro,Standby,C4-MBD-08,Jazz Host/UFONE Guest,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
RUR0180,LTE_RUR0180__S_Manget,3,2G/LTE,Bronze,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,98.697916666666,100,100,100,100,100,100,,,,,,,,,,,,1,99.9348958333333
RUR1294,LTE_RUR1294__S_Mazaffar,3,2G/LTE,Bronze,Macro,Deodar CP Prime,C4-NRW-05,JAZZ,DEODAR,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.586805555555,100,,,,,,,,,,,,1,99.62934027777774
RUR3270,LTE_RUR3270__S_DolatPur,3,2G/LTE,Bronze,Macro,Standby,C4-NRW-05,JAZZ,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.998070987654,100,,,,,,,,,,,,1,99.99990354938271
RUR5945,LTE_RUR5945__S_Majo Chak Warid_305298,6,2G/3G/LTE,Gold,Macro,Standby,C4-GUJ-01,JAZZ,DEODAR,DG site,100,100,100,100,85.515046296296,100,100,100,100,100,100,100,84.862075617283,100,100,100,98.235918209876,100,100,100,,,,,,,,,,,,3,98.43065200617275
RUR6067,RUR6067__P_BherowalWarid_PH7511,6,2G/3G/LTE,Gold,Macro,OMO,C4-MBD-08,Jazz Guest/TELENOR Host,TELENOR,Non DG Site,100,100,100,100,100,100,93.010223765432,98.836805555555,96.267361111111,100,100,100,70.810185185185,100,100,100,100,78.489583333333,66.574074074074,100,,,,,,,,,,,,6,95.1994116512345
RUR6081,RUR6081__P_Bheko_MorWarid_4V4340,6,2G/3G/LTE,Bronze,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,100,100,100,97.777777777777,97.396797839506,94.91512345679,100,100,100,100,100,98.512731481481,100,100,100,100,100,97.852044753086,92.965856481481,95.820794753086,,,,,,,,,,,,7,98.76205632716035
RUR6178,RUR6178__S_Ghunian_Village_Samma_Road_MR2C3723,6,2G/3G/LTE,Bronze,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,100,100,100,100,100,100,88.857060185185,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,1,99.44285300925925
RUR6227,RUR6227__S_SADLANWALA_MR4W4344,6,2G/3G/LTE,Bronze,Macro,Standby,C4-MBD-08,Jazz Host/CM-PAK Guest,DEODAR,DG site,100,100,99.985532407407,100,100,100,100,99.556327160493,100,100,100,100,100,100,100,100,100,100,98.647762345679,100,,,,,,,,,,,,3,99.90948109567894
SKT3605,SKT3605__S_BansanWalaBazar_WP,9,2G/3G/LTE,Hub,Macro,Standby,C4-SKT-03,JAZZ,DEODAR,DG site,100,100,100,100,100,94.520961934156,100,100,100,100,100,100,100,100,100,100,72.03125,85.864840534979,89.556327160493,100,,,,,,,,,,,,4,97.09866898148141
NKW6994,NKW6994__S_Chak44MandiBahuddin,4,2G/LTE,Bronze,Macro,Standby,C4-MBD-08,JAZZ,DEODAR,DG site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
RUR5632,RUR5632_H_Wadala Sindh,6,2G/LTE,Gold,Macro,B2S,C4-NRW-05,Tawal,Tawal,DG site,97.005208333333,93.099922839506,99.965277777777,100,100,99.835069444444,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,4,99.495273919753
RUR5930,RUR5930_H_USF_USLK001_Mojianwala Mandi Bahauddin,4,2G/LTE,Bronze,Macro,Solar+DG,C4-MBD-08,JAZZ,DEODAR,DG site,100,100,99.176793981481,100,100,100,100,100,100,100,100,100,100,100,100,100,96.335358796296,100,100,100,,,,,,,,,,,,2,99.77560763888886
